,timestamp,station_id,station_name,latitude,longitude,ridership
0,2024-7-15T00:00:00.000,10,"49 St (N,R,W)",40.7599,-73.98414,267
1,2024-7-15T00:00:00.000,103,"Bowery (J,Z)",40.72028,-73.99391,66
2,2024-7-15T00:00:00.000,107,"Broad St (J,Z)",40.706474,-74.011055,24
3,2024-7-15T00:00:00.000,118,3 Av (L),40.73285,-73.98612,97
4,2024-7-15T00:00:00.000,119,1 Av (L),40.730953,-73.98163,130
5,2024-7-15T00:00:00.000,13,"28 St (R,W)",40.745495,-73.98869,127
6,2024-7-15T00:00:00.000,14,"23 St (R,W)",40.741302,-73.98934,90
7,2024-7-15T00:00:00.000,143,Inwood-207 St (A),40.868073,-73.9199,51
8,2024-7-15T00:00:00.000,144,Dyckman St (A),40.86549,-73.92727,28
9,2024-7-15T00:00:00.000,145,190 St (A),40.85902,-73.93418,12
10,2024-7-15T00:00:00.000,146,181 St (A),40.851696,-73.937965,18
11,2024-7-15T00:00:00.000,147,175 St (A),40.84739,-73.939705,25
12,2024-7-15T00:00:00.000,149,163 St-Amsterdam Av (C),40.836014,-73.939896,18
13,2024-7-15T00:00:00.000,150,155 St (C),40.830517,-73.94151,9
14,2024-7-15T00:00:00.000,151,"145 St (A,C,B,D)",40.824783,-73.944214,78
15,2024-7-15T00:00:00.000,152,"135 St (C,B)",40.817894,-73.94765,16
16,2024-7-15T00:00:00.000,153,"125 St (A,C,B,D)",40.811108,-73.95235,133
17,2024-7-15T00:00:00.000,154,"116 St (C,B)",40.805084,-73.95488,21
18,2024-7-15T00:00:00.000,155,"Cathedral Pkwy (110 St) (C,B)",40.800602,-73.95816,27
19,2024-7-15T00:00:00.000,156,"103 St (C,B)",40.796093,-73.96146,7
20,2024-7-15T00:00:00.000,157,"96 St (C,B)",40.79164,-73.9647,31
21,2024-7-15T00:00:00.000,158,"86 St (C,B)",40.78587,-73.96892,43
22,2024-7-15T00:00:00.000,159,"81 St-Museum of Natural History (C,B)",40.781433,-73.972145,51
23,2024-7-15T00:00:00.000,16,"8 St-NYU (R,W)",40.730328,-73.99263,112
24,2024-7-15T00:00:00.000,160,"72 St (C,B)",40.775593,-73.97641,46
25,2024-7-15T00:00:00.000,162,"50 St (C,E)",40.762455,-73.985985,179
26,2024-7-15T00:00:00.000,164,"34 St-Penn Station (A,C,E)",40.75229,-73.99339,544
27,2024-7-15T00:00:00.000,165,"23 St (C,E)",40.745907,-73.99804,104
28,2024-7-15T00:00:00.000,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",40.732338,-74.000496,577
29,2024-7-15T00:00:00.000,168,"Spring St (C,E)",40.726227,-74.00374,60
30,2024-7-15T00:00:00.000,169,"Canal St (A,C,E)",40.720825,-74.005226,115
31,2024-7-15T00:00:00.000,17,"Prince St (R,W)",40.72433,-73.9977,70
32,2024-7-15T00:00:00.000,20,"City Hall (R,W)",40.713284,-74.00698,22
33,2024-7-15T00:00:00.000,22,"Rector St (R,W)",40.70722,-74.01334,16
34,2024-7-15T00:00:00.000,220,"155 St (B,D)",40.830135,-73.93821,5
35,2024-7-15T00:00:00.000,222,Roosevelt Island (F),40.759144,-73.95326,34
